36,Clefable,HADA,95,70,73,clefable.png,100,0
37,Vulpix,FUEGO,38,41,40,vulpix.png,30,38
38,Ninetales,FUEGO,73,76,75,ninetales.png,100,0
39,Jigglypuff,NORMAL,115,45,20,jigglypuff.png,30,40
40,Wigglytuff,NORMAL,140,70,45,wigglytuff.png,100,0
41,Zubat,VENENO,40,45,35,zubat.png,22,42
42,Golbat,VENENO,75,80,70,golbat.png,100,0
43,Oddish,PLANTA,45,50,55,oddish.png,21,44
44,Gloom,PLANTA,60,65,70,gloom.png,36,45
45,Vileplume,PLANTA,75,80,85,vileplume.png,100,0
46,Paras,BICHO,35,70,55,paras.png,24,47
47,Parasect,BICHO,60,95,80,parasect.png,100,0
48,Venonat,BICHO,60,55,50,venonat.png,31,49
49,Venomoth,BICHO,70,65,60,venomoth.png,100,0
50,Diglett,TIERRA,10,55,25,diglett.png,26,51
51,Dugtrio,TIERRA,35,100,50,dugtrio.png,100,0
52,Meowth,NORMAL,40,45,35,meowth.png,28,53
53,Persian,NORMAL,65,70,60,persian.png,100,0
54,Psyduck,AGUA,50,52,48,psyduck.png,33,55
55,Golduck,AGUA,80,82,78,golduck.png,100,0
56,Mankey,LUCHA,40,80,35,mankey.png,28,57
57,Primeape,LUCHA,65,105,60,primeape.png,100,0
58,Growlithe,FUEGO,55,70,45,growlithe.png,30,59
59,Arcanine,FUEGO,90,110,80,arcanine.png,100,0
60,Poliwag,AGUA,40,50,40,poliwag.png,25,61
61,Poliwhirl,AGUA,65,65,65,poliwhirl.png,36,62
62,Poliwrath,AGUA,90,95,95,poliwrath.png,100,0
63,Abra,PSIQUICO,25,20,15,abra.png,16,64
64,Kadabra,PSIQUICO,40,35,30,kadabra.png,36,65
65,Alakazam,PSIQUICO,55,50,45,alakazam.png,100,0
66,Machop,LUCHA,70,80,50,machop.png,28,67
67,Machoke,LUCHA,80,100,70,machoke.png,36,68
68,Machamp,LUCHA,90,130,80,machamp.png,100,0
69,Bellsprout,PLANTA,50,75,35,bellsprout.png,21,70
70,Weepinbell,PLANTA,65,90,50,weepinbell.png,36,71
71,Victreebel,PLANTA,80,105,65,victreebel.png,100,0
72,Tentacool,AGUA,40,40,35,tentacool.png,30,73
73,Tentacruel,AGUA,80,70,65,tentacruel.png,100,0
74,Geodude,ROCA,40,80,100,geodude.png,25,75
75,Graveler,ROCA,55,95,115,graveler.png,36,76
76,Golem,ROCA,80,120,130,golem.png,100,0
77,Ponyta,FUEGO,50,85,55,ponyta.png,40,78
78,Rapidash,FUEGO,65,100,70,rapidash.png,100,0
79,Slowpoke,AGUA,90,65,65,slowpoke.png,37,80
80,Slowbro,AGUA,95,75,110,slowbro.png,100,0
81,Magnemite,ELECTRICO,25,35,70,magnemite.png,30,82
82,Magneton,ELECTRICO,50,60,95,magneton.png,100,0
83,Farfetchd,NORMAL,52,90,55,farfetchd.png,100,0
84,Doduo,NORMAL,35,85,45,doduo.png,31,85
85,Dodrio,NORMAL,60,110,70,dodrio.png,100,0
86,Seel,AGUA,65,45,55,seel.png,34,87
87,Dewgong,AGUA,90,70,80,dewgong.png,100,0
88,Grimer,VENENO,80,80,50,grimer.png,38,89
89,Muk,VENENO,105,105,75,muk.png,100,0
90,Shellder,AGUA,30,65,100,shellder.png,30,91
91,Cloyster,AGUA,50,95,180,cloyster.png,100,0
92,Gastly,FANTASMA,30,35,30,gastly.png,25,93
93,Haunter,FANTASMA,45,50,45,haunter.png,36,94
94,Gengar,FANTASMA,60,65,60,gengar.png,100,0
95,Onix,ROCA,35,45,160,onix.png,100,0
96,Drowzee,PSIQUICO,60,48,45,drowzee.png,26,97
97,Hypno,PSIQUICO,85,73,70,hypno.png,100,0
98,Krabby,AGUA,30,105,90,krabby.png,28,99
99,Kingler,AGUA,55,130,115,kingler.png,100,0
100,Voltorb,ELECTRICO,40,30,50,voltorb.png,30,101
101,Electrode,ELECTRICO,60,50,70,electrode.png,100,0
102,Exeggcute,PLANTA,60,40,80,exeggcute.png,30,103
103,Exeggutor,PLANTA,95,95,85,exeggutor.png,100,0
104,Cubone,TIERRA,50,50,95,cubone.png,28,105
105,Marowak,TIERRA,60,80,110,marowak.png,100,0
106,Hitmonlee,LUCHA,50,120,53,hitmonlee.png,100,0
107,Hitmonchan,LUCHA,50,105,79,hitmonchan.png,100,0
108,Lickitung,NORMAL,90,55,75,lickitung.png,100,0
109,Koffing,VENENO,40,65,95,koffing.png,35,110
110,Weezing,VENENO,65,90,120,weezing.png,100,0
111,Rhyhorn,TIERRA,80,85,95,rhyhorn.png,42,112
112,Rhydon,TIERRA,105,130,120,rhydon.png,100,0
113,Chansey,NORMAL,250,5,5,chansey.png,100,0
114,Tangela,PLANTA,65,55,115,tangela.png,100,0
115,Kangaskhan,NORMAL,105,95,80,kangaskhan.png,100,0
116,Horsea,AGUA,30,40,70,horsea.png,32,117
117,Seadra,AGUA,55,65,95,seadra.png,100,0
118,Goldeen,AGUA,45,67,60,goldeen.png,33,119
119,Seaking,AGUA,80,92,65,seaking.png,100,0
120,Staryu,AGUA,30,45,55,staryu.png,30,121
121,Starmie,AGUA,60,75,85,starmie.png,100,0
122,MrMime,PSIQUICO,40,45,65,mrmime.png,100,0
123,Scyther,BICHO,70,110,80,scyther.png,100,0
124,Jynx,HIELO,65,50,35,jynx.png,100,0
125,Electabuzz,ELECTRICO,65,83,57,electabuzz.png,100,0
126,Magmar,FUEGO,65,95,57,magmar.png,100,0
127,Pinsir,BICHO,65,125,100,pinsir.png,100,0
128,Tauros,NORMAL,75,100,95,tauros.png,100,0
129,Magikarp,AGUA,20,10,55,magikarp.png,20,130
130,Gyarados,AGUA,95,125,79,gyarados.png,100,0
131,Lapras,AGUA,130,85,80,lapras.png,100,0
132,Ditto,NORMAL,48,48,48,ditto.png,100,0
133,Eevee,NORMAL,55,55,50,eevee.png,25,134
134,Vaporeon,AGUA,130,65,60,vaporeon.png,100,0
135,Jolteon,ELECTRICO,65,65,60,jolteon.png,100,0
136,Flareon,FUEGO,65,130,60,flareon.png,100,0
137,Porygon,NORMAL,65,60,70,porygon.png,100,0
138,Omanyte,ROCA,35,40,100,omanyte.png,40,139
139,Omastar,ROCA,70,60,125,omastar.png,100,0
140,Kabuto,ROCA,30,80,90,kabuto.png,40,141
141,Kabutops,ROCA,60,115,105,kabutops.png,100,0
142,Aerodactyl,ROCA,80,105,65,aerodactyl.png,100,0
143,Snorlax,NORMAL,160,110,65,snorlax.png,100,0
144,Articuno,HIELO,90,85,100,articuno.png,100,0
145,Zapdos,ELECTRICO,90,90,85,zapdos.png,100,0
146,Moltres,FUEGO,90,100,90,moltres.png,100,0
147,Dratini,DRAGON,41,64,45,dratini.png,30,148
148,Dragonair,DRAGON,61,84,65,dragonair.png,55,149
149,Dragonite,DRAGON,91,134,95,dragonite.png,100,0
150,Mewtwo,PSIQUICO,106,110,90,mewtwo.png,100,0
151,Mew,PSIQUICO,100,100,100,mew.png,100,0
